Category,Product Name,Price,Offer,Tags,Stock,Comments
Basket Plants,New Product,£0,,,,
Bedding,12 Pack,£6.50,3 for £18,,,
Bedding,6 Pack,£3.50,4 for £12,,,
Bedding,Jumbo,£6,3 for £15,,,
Bedding,On the fence,£4,6 for £20,,,
Compost,Ericaceous,£8.50,2 for £16,compost,,
Compost,Evergreen (peat free),£7.50,3 for £20,compost,,
Compost,Grow Bag,£6,3 for £15,compost,,
Compost,Grow Bag (peat free),£8,2 for £15,compost,,
Compost,John Innes,£6.50,3 for £18,compost,,
Compost,Multi 40L,£6.50,3 for £17.50,compost,,
Compost,Multi 60L,£8,3 for £22,compost,,
Compost,"Rose, Tree and Shrub",£8.50,2 for £15,compost,,
Compost,Seed,£6,3 for £15,compost,,
Compost,Sylvagrow (peat free),£9.50,2 for £18,compost,,
Compost,Top Soil,£6,3 for £16,,,
Melcourt (Stone etc),Bark Chip,£9.50,2 for £18,,,
Melcourt (Stone etc),Blue Slate,£7,3 for £20,,,
Melcourt (Stone etc),Grit,£6,2 for £10,,,
Melcourt (Stone etc),Sand,£6,2 for £10,,,
Melcourt (Stone etc),Stone,£6,2 for £10,,,
Perennials,1 Litre,£4,3 for £10,,,
Perennials,10 Litre,£22.50,2 for £40,,,
Perennials,2/3 Litre,£7.50,3 for £20,,,
Perennials,Blue Grass (large),£10,2 for £17.50,,,
Perennials,Grass (mixed),£10,3 for £25,,,
Perennials,Pampas Grass,£10,,,,
Perennials,Peaonia (large),£12,,,,
Perennials,Peaonia (small),£9,,,,
Shrubs and Trees,Acer (1 ltr),£10,,,,
Shrubs and Trees,Acer (10 ltr),£55,,,,
Shrubs and Trees,Acer (2 ltr),£20,2 for £35,,,
Shrubs and Trees,Acer (5 ltr),£45,,,,
Shrubs and Trees,Azalea,£6.50,,,,
Shrubs and Trees,Camelia,£22.50,2 for £40,,,
Shrubs and Trees,Connifer (balls x 2),£10,,,,
Shrubs and Trees,Cornus,£2,2 for £10,,,
Shrubs and Trees,Euonymus,£12,2 for £20,,,
Shrubs and Trees,Hydrangea,£12,2 for £20,,,
Shrubs and Trees,Ivy,£4.50,,,,
Shrubs and Trees,Olive (large),£45,,tree,,
Shrubs and Trees,Olive (small),£15,,tree,,
Shrubs and Trees,Pieris,£17.50,2 for £30,,,
Shrubs and Trees,Red Robbin (large),£35,2 for £60,,,
Shrubs and Trees,Rhododendron,£25,2 for £45,,,
Shrubs and Trees,Rhododendron (large),£35,,,,
Shrubs and Trees,Salix Bush,£10,,,,
Shrubs and Trees,Skimmia (berry),£10,,,,
Shrubs and Trees,Skimmia (large),£20,,,,
Shrubs and Trees,Viburnum,£35,,,,
Shrubs and Trees,Yew Bush,£15,,,,
Vegetables,New Product,£0,,,,
